===== System Information =====
Time: 2025-10-28T16:05:42.280
App: ColorProDisplayManager
App Version: 1.1.0.1028
Qt Version: 6.5.2
OS: Windows 11 Version 24H2
CPU Arch: x86_64
Screen[0] Name: \\.\DISPLAY1
Screen[0] Size: 1920 x 1080 px
Screen[0] DPI: 96
Screen[0] Physical Size: 344mm x 194mm
Screen[1] Name: VP2458
Screen[1] Size: 1920 x 1080 px
Screen[1] DPI: 96
Screen[1] Physical Size: 527mm x 296mm
Screen[2] Name: VP3256-4K
Screen[2] Size: 2560 x 1440 px
Screen[2] DPI: 96
Screen[2] Physical Size: 697mm x 392mm
==============================
[16:05:42.281]  [T:0x60947] I: [ CAppRunningNotifier::initialize ] CAppRunningNotifier server is running
[16:05:42.282]  [T:0x60947] D: [LanguageManager] initSystemLanguage: loaded "en_US"
[16:05:42.297]  [T:0x60947] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Regular.ttf" -> families: "Inter"
[16:05:42.299]  [T:0x60947] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Medium.ttf" -> families: "Inter Medium"
[16:06:00.923]  [T:0x60947] I: [ CQJsonHandler::getValue ] No such key in JSON object:  std::vector("CVD", "advancedfilter_beta")
[16:06:00.923]  [T:0x60947] I: [ CQJsonHandler::getValue ] No such key in JSON object:  std::vector("CVD", "simulation_mode")
[16:06:00.923]  [T:0x60947] I: is_color_filter_on_off_ =  false
[16:06:00.924]  [T:0x60947] I: color_filter_mode_ =  0
[16:06:00.924]  [T:0x60947] I: is_CVD_correction_on_off_ =  false
[16:06:00.924]  [T:0x60947] I: correction_mode_ =  0
[16:06:00.924]  [T:0x60947] I: correction_alpha_ =  50
[16:06:00.925]  [T:0x60947] I: correction_beta_ =  50
[16:06:00.925]  [T:0x60947] I: is_CVD_simulation_on_off_ =  false
[16:06:00.925]  [T:0x60947] I: simulation_mode_ =  0
[16:06:00.926]  [T:0x60947] I: [ CWinScreenChangeEventHandler::registerDeviceNotification ] Device notification registered successfully
[16:06:00.926]  [T:0x60947] I: [ CWinScreenChangeEventHandler::RecordPrimaryTarget ] Recorded primary adapterIdKey: 72014  targetId: 8388688
[16:06:00.927]  [T:0x60947] I: [ CWinScreenChangeEventHandler::GetPhysicalMonitorCount ] Monitor  0 :  0xcff3a4
[16:06:00.928]  [T:0x60947] I: [ CWinScreenChangeEventHandler::GetPhysicalMonitorCount ] Monitor  1 :  0xcff3a4
